UF,Municipio,IBGE,IBGE7,UF,Município,latitude,longitude,Região,População 2010,Porte,BOTULISMO,LEISHMANIOSE VISCERAL,LEISHMANIOSE TEGUMENTAR,FEBRE AMARELA,DENGUE,HEPATITE VIRAL,FEBRE MACULOSA,LEPTOSPIROSE,DOENÇA DE CHAGAS,PICADAS DE COBRAS,ZIKA VÍRUS,FEBRE TIFÓIDE,HANTAVIROSE,MENINGITE,RAIVA
RO,Alta Floresta D'oeste,110001,1100015,RO,Alta Floresta D´oeste,"-11,9283","-61,9953",Região Norte,24392,Pequeno II,0,0,20,0,12,19,0,1,0,53,9,0,0,0,0
SP,Altair,350090,3500907,SP,Altair,"-20,5242","-49,0571",Região Sudeste,3815,Pequeno I,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0
PA,Altamira,150060,1500602,PA,Altamira,"-3,20407","-52,21",Região Norte,99075,Médio,0,3,139,0,320,41,0,1,0,294,9,0,1,3,0
MA,Altamira do Maranhão,210040,2100402,MA,Altamira do Maranhão,"-4,16598","-45,4706",Região Nordeste,11063,Pequeno I,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
PR,Altamira do Paraná,410045,4100459,PR,Altamira do Paraná,"-24,7983","-52,7128",Região Sul,4306,Pequeno I,0,0,1,0,67,5,0,1,0,22,3,0,0,0,0
CE,Altaneira,230060,2300606,CE,Altaneira,"-6,99837","-39,7356",Região Nordeste,6856,Pequeno I,0,1,4,0,7,2,0,0,0,0,0,0,0,0,0
MG,Alterosa,310200,3102001,MG,Alterosa,"-21,2488","-46,1387",Região Sudeste,13717,Pequeno I,0,0,0,0,22,0,0,0,0,1,0,0,0,0,0
PE,Altinho,260080,2600807,PE,Altinho,"-8,48482","-36,0644",Região Nordeste,22353,Pequeno II,0,0,1,0,136,1,0,0,0,100,0,0,0,0,0
SP,Altinópolis,350100,3501004,SP,Altinópolis,"-21,0214","-47,3712",Região Sudeste,15607,Pequeno I,0,0,0,0,26,2,0,0,0,68,0,0,0,0,0
RR,Alto Alegre,140005,1400050,RR,Alto Alegre,"2,98858","-61,3072",Região Norte,16448,Pequeno I,0,0,8,0,0,2,0,0,0,131,5,0,0,0,0
SP,Alto Alegre,350110,3501103,SP,Alto Alegre,"-21,5811","-50,168",Região Sudeste,4102,Pequeno I,0,0,0,0,32,0,0,0,0,41,0,0,0,0,0
RS,Alto Alegre,430055,4300554,RS,Alto Alegre,"-28,7769","-52,9893",Região Sul,1848,Pequeno I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,Alto Alegre do Maranhão,210043,2100436,MA,Alto Alegre do Maranhão,"-4,213","-44,446",Região Nordeste,24599,Pequeno II,0,2,1,0,0,0,0,0,0,10,0,0,0,0,0
MA,Alto Alegre do Pindaré,210047,2100477,MA,Alto Alegre do Pindaré,"-3,66689","-45,8421",Região Nordeste,31057,Pequeno II,0,0,35,0,6,0,0,0,0,22,3,0,0,0,0
RO,Alto Alegre Dos Parecis,110037,1100379,RO,Alto Alegre Dos Parecis,"-12,132","-61,835",Região Norte,12816,Pequeno I,0,0,9,0,86,6,0,0,0,40,2,0,0,0,0
MT,Alto Araguaia,510030,5100300,MT,Alto Araguaia,"-17,3153","-53,2181",Região Centro-Oeste,15644,Pequeno I,0,0,3,0,132,3,0,0,0,1,0,0,0,0,0
SC,Alto Bela Vista,420075,4200754,SC,Alto Bela Vista,"-27,4333","-51,9044",Região Sul,2005,Pequeno I,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0
MT,Alto Boa Vista,510035,5100359,MT,Alto Boa Vista,"-11,6732","-51,3883",Região Centro-Oeste,5247,Pequeno I,0,0,23,0,0,1,0,0,0,0,0,0,0,0,0
MG,Alto Caparaó,310205,3102050,MG,Alto Caparaó,"-20,448129","-41,873185",Região Sudeste,5297,Pequeno I,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
RN,Alto do Rodrigues,240070,2400703,RN,Alto do Rodrigues,"-5,28186","-36,75",Região Nordeste,12305,Pequeno I,0,0,0,0,54,0,0,0,0,2,1,0,0,0,0
RS,Alto Feliz,430057,4300570,RS,Alto Feliz,"-29,3919","-51,3123",Região Sul,2917,Pequeno I,0,0,0,0,0,2,0,0,0,14,1,0,0,0,0
MT,Alto Garças,510040,5100409,MT,Alto Garças,"-16,9462","-53,5272",Região Centro-Oeste,10350,Pequeno I,0,0,4,0,122,0,0,0,0,1,0,0,0,0,0
GO,Alto Horizonte,520055,5200555,GO,Alto Horizonte,"-14,1978","-49,3378",Região Centro-Oeste,4505,Pequeno I,0,0,1,0,8,1,0,0,0,5,0,0,0,0,0
MG,Alto Jequitibá,315350,3153509,MG,Alto Jequitibá,"-20,4208","-41,967457",Região Sudeste,8318,Pequeno I,0,0,4,0,364,0,0,0,0,90,0,0,0,0,0
PI,Alto Longá,220030,2200301,PI,Alto Longá,"-5,25634","-42,2096",Região Nordeste,13646,Pequeno I,0,0,0,0,4,0,0,0,0,73,1,0,0,0,0
MT,Alto Paraguai,510050,5100508,MT,Alto Paraguai,"-14,5137","-56,4776",Região Centro-Oeste,10066,Pequeno I,0,1,12,0,22,1,0,0,0,1,4,0,0,0,0
RO,Alto Paraíso,110040,1100403,RO,Alto Paraíso,"-9,71429","-63,3188",Região Norte,17135,Pequeno I,0,0,7,0,12,59,0,0,0,17,1,0,0,0,0
GO,Alto Paraíso de Goiás,520060,5200605,GO,Alto Paraíso de Goiás,"-14,1305","-47,51",Região Centro-Oeste,6885,Pequeno I,0,0,39,0,64,0,0,0,0,60,1,0,0,0,0
PR,Alto Paraná,410060,4100608,PR,Alto Paraná,"-23,1312","-52,3189",Região Sul,13663,Pequeno I,0,0,1,0,1684,6,0,0,0,6,1,0,0,0,0
MA,Alto Parnaíba,210050,2100501,MA,Alto Parnaíba,"-9,10273","-45,9303",Região Nordeste,10766,Pequeno I,0,0,0,0,31,0,0,0,0,5,0,0,0,0,0
PR,Alto Piquiri,410070,4100707,PR,Alto Piquiri,"-24,0224","-53,44",Região Sul,10179,Pequeno I,0,0,0,0,1308,0,0,0,0,5,0,0,0,0,0
MG,Alto Rio Doce,310210,3102100,MG,Alto Rio Doce,"-21,0281","-43,4067",Região Sudeste,12159,Pequeno I,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0
ES,Alto Rio Novo,320035,3200359,ES,Alto Rio Novo,"-19,0618","-41,0209",Região Sudeste,7317,Pequeno I,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
CE,Alto Santo,230070,2300705,CE,Alto Santo,"-5,50894","-38,2743",Região Nordeste,16359,Pequeno I,0,0,0,0,9,0,0,0,0,15,1,0,0,0,0
MT,Alto Taquari,510060,5100607,MT,Alto Taquari,"-17,8241","-53,2792",Região Centro-Oeste,8072,Pequeno I,0,0,3,0,38,0,0,0,0,3,7,0,0,0,0
PR,Altônia,410050,4100509,PR,Altônia,"-23,8759","-53,8958",Região Sul,20516,Pequeno II,0,0,0,0,1473,0,0,0,0,12,0,0,0,0,0
PI,Altos,220040,2200400,PI,Altos,"-5,03888","-42,4612",Região Nordeste,38822,Pequeno II,0,0,0,0,3,1,0,0,0,58,2,0,0,0,0
SP,Alumínio,350115,3501152,SP,Alumínio,"-23,5306","-47,2546",Região Sudeste,16839,Pequeno I,0,0,0,0,5,10,0,0,0,29,0,0,0,0,0
AM,Alvarães,130002,1300029,AM,Alvarães,"-3,22727","-64,8007",Região Norte,14088,Pequeno I,0,0,1,0,0,4,0,0,0,70,0,0,0,0,0
MG,Alvarenga,310220,3102209,MG,Alvarenga,"-19,4174","-41,7317",Região Sudeste,4444,Pequeno I,0,0,7,0,41,0,0,0,0,52,0,0,0,0,0
SP,Álvares Florence,350120,3501202,SP,Álvares Florence,"-20,3203","-49,9141",Região Sudeste,3897,Pequeno I,0,0,0,0,70,0,0,0,0,49,0,0,0,0,0
SP,Álvares Machado,350130,3501301,SP,Álvares Machado,"-22,0764","-51,4722",Região Sudeste,23513,Pequeno II,0,0,0,0,360,1,0,0,0,63,3,0,0,0,0
SP,Álvaro de Carvalho,350140,3501400,SP,Álvaro de Carvalho,"-22,0841","-49,719",Região Sudeste,4650,Pequeno I,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
SP,Alvinlândia,350150,3501509,SP,Alvinlândia,"-22,4435","-49,7623",Região Sudeste,3000,Pequeno I,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
MG,Alvinópolis,310230,3102308,MG,Alvinópolis,"-20,1098","-43,0535",Região Sudeste,15261,Pequeno I,0,0,0,0,10,0,0,0,0,170,1,0,0,0,0
TO,Alvorada,170070,1700707,TO,Alvorada,"-12,4785","-49,1249",Região Norte,8374,Pequeno I,0,0,1,0,8,0,0,0,0,54,0,0,0,0,0
RS,Alvorada,430060,4300604,RS,Alvorada,"-29,9914","-51,0809",Região Sul,195673,Grande,0,0,0,0,4,514,0,13,0,0,4,0,0,0,0
RO,Alvorada D'oeste,110034,1100346,RO,Alvorada D´oeste,"-11,3463","-62,2847",Região Norte,16853,Pequeno I,0,0,4,0,2,7,0,0,0,19,0,0,0,0,0
MG,Alvorada de Minas,310240,3102407,MG,Alvorada de Minas,"-18,7334","-43,3638",Região Sudeste,3546,Pequeno I,0,0,0,0,6,0,0,0,0,17,0,0,0,0,0
PI,Alvorada do Gurguéia,220045,2200459,PI,Alvorada do Gurguéia,"-8,42418","-43,777",Região Nordeste,5050,Pequeno I,0,0,1,0,1,0,0,0,0,24,0,0,0,0,0
GO,Alvorada do Norte,520080,5200803,GO,Alvorada do Norte,"-14,4797","-46,491",Região Centro-Oeste,8084,Pequeno I,0,0,0,0,78,0,0,0,0,40,0,0,0,0,0
PR,Alvorada do Sul,410080,4100806,PR,Alvorada do Sul,"-22,7813","-51,2297",Região Sul,10283,Pequeno I,0,0,0,0,318,5,0,2,0,44,0,0,0,1,0
RR,Amajari,140002,1400027,RR,Amajari,"3,64571","-61,3692",Região Norte,9327,Pequeno I,0,0,2,0,4,3,0,0,0,19,1,0,0,0,0
MS,Amambaí,500060,5000609,MS,Amambaí,"-23,1058","-55,2253",Região Centro-Oeste,34730,Pequeno II,0,0,0,0,1824,17,0,0,0,135,30,0,0,0,0
AP,Amapá,160010,1600105,AP,Amapá,"2,05267","-50,7957",Região Norte,8069,Pequeno I,0,0,2,0,0,0,0,0,0,29,0,0,0,0,0
MA,Amapá do Maranhão,210055,2100550,MA,Amapá do Maranhão,"-1,67524","-46,0024",Região Nordeste,6431,Pequeno I,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0
PR,Amaporã,410090,4100905,PR,Amaporã,"-23,0943","-52,7866",Região Sul,5443,Pequeno I,0,0,0,0,173,1,0,0,0,9,0,0,0,0,0
PE,Amaraji,260090,2600906,PE,Amaraji,"-8,37691","-35,4501",Região Nordeste,21939,Pequeno II,0,0,4,0,35,1,0,0,0,0,59,0,0,0,0
RS,Amaral Ferrador,430063,4300638,RS,Amaral Ferrador,"-30,8756","-52,2509",Região Sul,6353,Pequeno I,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0
GO,Amaralina,520082,5200829,GO,Amaralina,"-13,9236","-49,2962",Região Centro-Oeste,3434,Pequeno I,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PI,Amarante,220050,2200509,PI,Amarante,"-6,24304","-42,8433",Região Nordeste,17135,Pequeno I,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MA,Amarante do Maranhão,210060,2100600,MA,Amarante do Maranhão,"-5,56913","-46,7473",Região Nordeste,37932,Pequeno II,0,1,10,0,11,8,0,0,0,78,0,0,0,0,0
BA,Amargosa,290100,2901007,BA,Amargosa,"-13,0215","-39,602",Região Nordeste,34351,Pequeno II,0,0,3,0,623,2,0,0,0,496,18,0,0,0,0
AM,Amaturá,130006,1300060,AM,Amaturá,"-3,37455","-68,2005",Região Norte,9467,Pequeno I,0,0,0,0,0,3,0,0,0,17,0,0,0,0,0
BA,Amélia Rodrigues,290110,2901106,BA,Amélia Rodrigues,"-12,3914","-38,7563",Região Nordeste,25190,Pequeno II,0,0,0,0,32,0,0,0,0,9,0,0,0,0,0
BA,América Dourada,290115,2901155,BA,América Dourada,"-11,4429","-41,439",Região Nordeste,15961,Pequeno I,0,2,0,0,33,8,0,0,0,72,19,8,0,0,0
SP,Americana,350160,3501608,SP,Americana,"-22,7374","-47,3331",Região Sudeste,210638,Grande,0,0,1,0,1195,175,6,5,0,643,0,0,0,37,0
GO,Americano do Brasil,520085,5200852,GO,Americano do Brasil,"-16,2514","-49,9831",Região Centro-Oeste,5508,Pequeno I,0,0,0,0,11,0,0,0,0,1,3,0,0,0,0
SP,Américo Brasiliense,350170,3501707,SP,Américo Brasiliense,"-21,7288","-48,1147",Região Sudeste,34478,Pequeno II,0,0,0,1,42,8,0,0,0,38,3,0,0,1,0
SP,Américo de Campos,350180,3501806,SP,Américo de Campos,"-20,2985","-49,7359",Região Sudeste,5706,Pequeno I,0,0,0,0,264,3,0,0,0,29,1,0,0,0,0
RS,Ametista do Sul,430064,4300646,RS,Ametista do Sul,"-27,3607","-53,183",Região Sul,7323,Pequeno I,0,0,0,0,0,8,0,0,0,21,0,0,0,0,0
CE,Amontada,230075,2300754,CE,Amontada,"-3,36017","-39,8288",Região Nordeste,39232,Pequeno II,0,0,0,0,2,0,0,0,0,10,6,0,0,0,0
GO,Amorinópolis,520090,5200902,GO,Amorinópolis,"-16,6151","-51,0919",Região Centro-Oeste,3609,Pequeno I,0,0,0,0,59,0,0,0,0,0,1,0,0,0,0
PB,Amparo,250073,2500734,PB,Amparo,"-7,55502","-37,0628",Região Nordeste,2088,Pequeno I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP,Amparo,350190,3501905,SP,Amparo,"-22,7088","-46,772",Região Sudeste,65829,Médio,0,0,1,0,115,64,1,7,0,151,0,0,0,0,0
SE,Amparo de São Francisco,280010,2800100,SE,Amparo de São Francisco,"-10,1348","-36,935",Região Nordeste,2275,Pequeno I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,Amparo do Serra,310250,3102506,MG,Amparo do Serra,"-20,5051","-42,8009",Região Sudeste,5053,Pequeno I,0,0,0,0,20,0,0,0,0,6,0,0,0,0,0
PR,Ampére,410100,4101002,PR,Ampére,"-25,9168","-53,4686",Região Sul,17308,Pequeno I,0,0,0,0,177,30,0,6,0,54,0,0,0,0,0
AL,Anadia,270020,2700201,AL,Anadia,"-9,68489","-36,3078",Região Nordeste,17424,Pequeno I,0,0,0,0,2,2,0,0,0,5,4,0,0,0,0
BA,Anagé,290120,2901205,BA,Anagé,"-14,6151","-41,1356",Região Nordeste,25516,Pequeno II,0,0,1,0,25,3,0,0,0,142,6,0,0,0,0
PR,Anahy,410105,4101051,PR,Anahy,"-24,6449","-53,1332",Região Sul,2874,Pequeno I,0,0,0,0,155,0,0,0,0,7,0,0,0,0,0
PA,Anajás,150070,1500701,PA,Anajás,"-0,996811","-49,9354",Região Norte,24759,Pequeno II,0,0,3,0,0,0,0,0,14,89,1,2,0,0,0
MA,Anajatuba,210070,2100709,MA,Anajatuba,"-3,26269","-44,6126",Região Nordeste,25291,Pequeno II,0,1,1,0,0,4,0,0,0,1,0,0,0,0,0
SP,Analândia,350200,3502002,SP,Analândia,"-22,1289","-47,6619",Região Sudeste,4293,Pequeno I,0,0,0,0,20,1,0,0,0,14,0,0,0,0,0
AM,Anamã,130008,1300086,AM,Anamã,"-3,56697","-61,3963",Região Norte,10214,Pequeno I,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
TO,Ananás,170100,1701002,TO,Ananás,"-6,36437","-48,0735",Região Norte,9865,Pequeno I,0,0,11,0,31,4,0,0,0,13,1,0,0,0,0
PA,Ananindeua,150080,1500800,PA,Ananindeua,"-1,36391","-48,3743",Região Norte,471980,Grande,0,15,42,0,45,174,0,44,137,4,31,44,0,1,0
GO,Anápolis,520110,5201108,GO,Anápolis,"-16,3281","-48,953",Região Centro-Oeste,334613,Grande,0,3,8,0,4952,198,0,4,0,506,117,0,6,6,0
PA,Anapu,150085,1500859,PA,Anapu,"-3,46985","-51,2003",Região Norte,20543,Pequeno II,0,0,43,0,17,4,0,0,0,101,0,0,0,0,0
MA,Anapurus,210080,2100808,MA,Anapurus,"-3,67577","-43,1014",Região Nordeste,13939,Pequeno I,0,0,14,0,7,0,0,0,0,45,0,0,0,0,0
MS,Anastácio,500070,5000708,MS,Anastácio,"-20,4823","-55,8104",Região Centro-Oeste,23835,Pequeno II,0,0,1,0,122,7,0,0,0,19,7,0,0,0,0
MS,Anaurilândia,500080,5000807,MS,Anaurilândia,"-22,1852","-52,7191",Região Centro-Oeste,8493,Pequeno I,0,0,0,0,238,0,0,0,0,30,0,0,0,0,0
ES,Anchieta,320040,3200409,ES,Anchieta,"-20,7955","-40,6425",Região Sudeste,23902,Pequeno II,0,0,0,0,1,20,0,0,0,0,0,0,0,0,0
SC,Anchieta,420080,4200804,SC,Anchieta,"-26,5382","-53,3319",Região Sul,6380,Pequeno I,0,0,1,0,9,35,0,2,0,45,1,0,0,0,0
BA,Andaraí,290130,2901304,BA,Andaraí,"-12,8049","-41,3297",Região Nordeste,13960,Pequeno I,0,0,3,0,104,1,0,0,0,112,1,0,0,0,0
PR,Andirá,410110,4101101,PR,Andirá,"-23,0533","-50,2304",Região Sul,20610,Pequeno II,0,0,0,0,1035,6,0,0,0,56,0,0,0,0,0
BA,Andorinha,290135,2901353,BA,Andorinha,"-10,3482","-39,8391",Região Nordeste,14414,Pequeno I,0,0,0,0,55,0,0,0,0,39,9,0,0,0,0
MG,Andradas,310260,3102605,MG,Andradas,"-22,0695","-46,5724",Região Sudeste,37270,Pequeno II,0,0,0,0,26,30,0,6,0,103,0,0,0,1,0
SP,Andradina,350210,3502101,SP,Andradina,"-20,8948","-51,3786",Região Sudeste,55334,Médio,0,3,1,0,1191,101,0,0,0,753,2,0,1,3,0
RS,André da Rocha,430066,4300661,RS,André da Rocha,"-28,6283","-51,5797",Região Sul,1216,Pequeno I,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
MG,Andrelândia,310280,3102803,MG,Andrelândia,"-21,7411","-44,3117",Região Sudeste,12173,Pequeno I,0,0,0,0,38,0,0,1,0,24,0,0,0,0,0
SP,Angatuba,350220,3502200,SP,Angatuba,"-23,4917","-48,4139",Região Sudeste,22210,Pequeno II,0,0,1,0,4,4,0,0,0,11,0,0,0,0,0
MG,Angelândia,310285,3102852,MG,Angelândia,"-17,7279","-42,2641",Região Sudeste,8003,Pequeno I,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
MS,Angélica,500085,5000856,MS,Angélica,"-22,1527","-53,7708",Região Centro-Oeste,9185,Pequeno I,0,0,0,0,50,1,0,0,0,6,1,0,0,0,0
PE,Angelim,260100,2601003,PE,Angelim,"-8,88429","-36,2902",Região Nordeste,10202,Pequeno I,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0
SC,Angelina,420090,4200903,SC,Angelina,"-27,5704","-48,9879",Região Sul,5250,Pequeno I,0,0,0,0,2,1,0,3,0,25,0,0,0,0,0
BA,Angical,290140,2901403,BA,Angical,"-12,0063","-44,7003",Região Nordeste,14073,Pequeno I,0,0,0,0,11,0,0,0,0,87,1,0,0,0,0
PI,Angical do Piauí,220060,2200608,PI,Angical do Piauí,"-6,08786","-42,74",Região Nordeste,6672,Pequeno I,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
TO,Angico,170105,1701051,TO,Angico,"-6,39179","-47,8611",Região Norte,3175,Pequeno I,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
RN,Angicos,240080,2400802,RN,Angicos,"-5,65792","-36,6094",Região Nordeste,11549,Pequeno I,0,0,0,0,6,0,0,0,0,0,29,0,0,0,0
RJ,Angra Dos Reis,330010,3300100,RJ,Angra Dos Reis,"-23,0011","-44,3196",Região Sudeste,169511,Grande,0,0,3,0,152,43,1,13,0,86,47,0,0,1,0
BA,Anguera,290150,2901502,BA,Anguera,"-12,1462","-39,2462",Região Nordeste,10242,Pequeno I,0,0,0,0,72,0,0,0,0,11,7,0,0,0,0
PR,Ângulo,410115,4101150,PR,Ângulo,"-23,1946","-51,9154",Região Sul,2859,Pequeno I,0,0,0,0,87,0,0,0,0,5,0,0,0,0,0
GO,Anhanguera,520120,5201207,GO,Anhanguera,"-18,3339","-48,2204",Região Centro-Oeste,1020,Pequeno I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP,Anhembi,350230,3502309,SP,Anhembi,"-22,793","-48,1336",Região Sudeste,5653,Pequeno I,0,0,0,0,4,0,0,0,0,111,0,0,0,0,0
SP,Anhumas,350240,3502408,SP,Anhumas,"-22,2934","-51,3895",Região Sudeste,3738,Pequeno I,0,0,0,0,4,1,0,0,0,5,0,0,0,0,0
GO,Anicuns,520130,5201306,GO,Anicuns,"-16,4642","-49,9617",Região Centro-Oeste,20239,Pequeno II,0,0,0,0,34,2,0,0,0,14,6,0,0,1,0
PI,Anísio de Abreu,220070,2200707,PI,Anísio de Abreu,"-9,18564","-43,0494",Região Nordeste,9098,Pequeno I,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0
SC,Anita Garibaldi,420100,4201000,SC,Anita Garibaldi,"-27,6897","-51,1271",Região Sul,8623,Pequeno I,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
SC,Anitápolis,420110,4201109,SC,Anitápolis,"-27,9012","-49,1316",Região Sul,3214,Pequeno I,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AM,Anori,130010,1300102,AM,Anori,"-3,74603","-61,6575",Região Norte,16317,Pequeno I,0,0,0,0,0,9,0,0,0,15,0,0,0,1,0
RS,Anta Gorda,430070,4300703,RS,Anta Gorda,"-28,9698","-52,0102",Região Sul,6073,Pequeno I,0,0,0,0,0,5,0,0,0,13,0,0,0,0,0
BA,Antas,290160,2901601,BA,Antas,"-10,3856","-38,3401",Região Nordeste,17072,Pequeno I,0,0,0,0,57,1,0,0,0,29,0,0,0,1,0
PR,Antonina,410120,4101200,PR,Antonina,"-25,4386","-48,7191",Região Sul,18891,Pequeno I,0,0,2,0,3,4,6,0,0,47,0,0,0,0,0
CE,Antonina do Norte,230080,2300804,CE,Antonina do Norte,"-6,76919","-39,987",Região Nordeste,6984,Pequeno I,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0
PI,Antônio Almeida,220080,2200806,PI,Antônio Almeida,"-7,21276","-44,1889",Região Nordeste,3039,Pequeno I,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0
BA,Antônio Cardoso,290170,2901700,BA,Antônio Cardoso,"-12,4335","-39,1176",Região Nordeste,11554,Pequeno I,0,0,0,0,25,0,0,0,0,24,2,0,0,0,0
MG,Antônio Carlos,310290,3102902,MG,Antônio Carlos,"-21,321","-43,7451",Região Sudeste,11114,Pequeno I,0,0,0,0,1,0,0,0,0,89,0,0,0,0,0
SC,Antônio Carlos,420120,4201208,SC,Antônio Carlos,"-27,5191","-48,766",Região Sul,7458,Pequeno I,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
MG,Antônio Dias,310300,3103009,MG,Antônio Dias,"-19,6491","-42,8732",Região Sudeste,9565,Pequeno I,0,0,2,0,9,0,0,0,0,37,4,0,0,0,0
BA,Antônio Gonçalves,290180,2901809,BA,Antônio Gonçalves,"-10,5767","-40,2785",Região Nordeste,11015,Pequeno I,0,0,4,0,41,0,0,0,0,7,1,0,0,0,0
MS,Antônio João,500090,5000906,MS,Antônio João,"-22,1927","-55,9517",Região Centro-Oeste,8208,Pequeno I,0,0,0,0,410,0,0,0,0,18,0,0,0,0,0
RN,Antônio Martins,240090,2400901,RN,Antônio Martins,"-6,21367","-37,8834",Região Nordeste,6907,Pequeno I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PR,Antônio Olinto,410130,4101309,PR,Antônio Olinto,"-25,9804","-50,1972",Região Sul,7351,Pequeno I,0,0,0,0,1,0,0,1,0,83,0,0,0,0,0
RS,Antônio Prado,430080,4300802,RS,Antônio Prado,"-28,8565","-51,2883",Região Sul,12833,Pequeno I,0,0,0,0,0,14,0,0,0,92,1,0,0,0,0
MG,Antônio Prado de Minas,310310,3103108,MG,Antônio Prado de Minas,"-21,0192","-42,1109",Região Sudeste,1671,Pequeno I,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
PB,Aparecida,250077,2500775,PB,Aparecida,"-6,78466","-38,0803",Região Nordeste,7676,Pequeno I,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
SP,Aparecida,350250,3502507,SP,Aparecida,"-22,8495","-45,2325",Região Sudeste,35007,Pequeno II,0,0,1,0,664,33,0,1,0,68,2,0,0,0,0
SP,Aparecida D'oeste,350260,3502606,SP,Aparecida D´oeste,"-20,4487","-50,8835",Região Sudeste,4450,Pequeno I,0,0,0,0,22,1,0,0,0,82,6,0,0,0,0
GO,Aparecida de Goiânia,520140,5201405,GO,Aparecida de Goiânia,"-16,8198","-49,2469",Região Centro-Oeste,455657,Grande,0,0,3,0,10514,286,0,2,0,88,199,0,1,0,0
GO,Aparecida do Rio Doce,520145,5201454,GO,Aparecida do Rio Doce,"-18,2941","-51,1516",Região Centro-Oeste,2427,Pequeno I,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0
TO,Aparecida do Rio Negro,170110,1701101,TO,Aparecida do Rio Negro,"-9,94139","-47,9638",Região Norte,4213,Pequeno I,0,0,4,0,6,1,0,0,1,11,2,0,0,0,0
MS,Aparecida do Taboado,500100,5001003,MS,Aparecida do Taboado,"-20,0873","-51,0961",Região Centro-Oeste,22320,Pequeno II,0,3,1,0,22,0,0,0,0,55,0,0,0,0,0
RJ,Aperibé,330015,3300159,RJ,Aperibé,"-21,6252","-42,1017",Região Sudeste,10213,Pequeno I,0,0,0,0,62,5,0,3,0,1,0,0,0,0,0
ES,Apiacá,320050,3200508,ES,Apiacá,"-21,1523","-41,5693",Região Sudeste,7512,Pequeno I,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MT,Apiacás,510080,5100805,MT,Apiacás,"-9,53981","-57,4587",Região Centro-Oeste,8567,Pequeno I,0,0,3,0,7,0,0,0,0,24,2,0,0,0,0
SP,Apiaí,350270,3502705,SP,Apiaí,"-24,5108","-48,8443",Região Sudeste,25191,Pequeno II,0,0,4,0,1,4,0,1,0,52,0,0,0,0,0
MA,Apicum-açu,210083,2100832,MA,Apicum-açu,"-1,45862","-45,0864",Região Nordeste,14959,Pequeno I,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0
SC,Apiúna,420125,4201257,SC,Apiúna,"-27,0375","-49,3885",Região Sul,9600,Pequeno I,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0
RN,Apodi,240100,2401008,RN,Apodi,"-5,65349","-37,7946",Região Nordeste,34763,Pequeno II,0,0,0,0,83,0,0,0,0,0,2,0,0,0,0
BA,Aporá,290190,2901908,BA,Aporá,"-11,6577","-38,0814",Região Nordeste,17731,Pequeno I,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0
GO,Aporé,520150,5201504,GO,Aporé,"-18,9607","-51,9232",Região Centro-Oeste,3803,Pequeno I,0,0,0,0,50,2,0,0,0,9,1,0,0,0,0
BA,Apuarema,290195,2901957,BA,Apuarema,"-13,8542","-39,7501",Região Nordeste,7459,Pequeno I,0,0,0,0,62,2,0,0,0,7,2,0,0,0,0
PR,Apucarana,410140,4101408,PR,Apucarana,"-23,55","-51,4635",Região Sul,120919,Grande,0,0,3,0,966,88,0,7,0,68,0,0,0,0,0
AM,Apuí,130014,1300144,AM,Apuí,"-7,19409","-59,896",Região Norte,18007,Pequeno I,0,0,27,0,0,2,0,0,0,159,0,0,0,0,0
