UF,Municipio,IBGE,IBGE7,UF,Município,latitude,longitude,Região,População 2010,Porte,BOTULISMO,LEISHMANIOSE VISCERAL,LEISHMANIOSE TEGUMENTAR,FEBRE AMARELA,DENGUE,HEPATITE VIRAL,FEBRE MACULOSA,LEPTOSPIROSE,DOENÇA DE CHAGAS,PICADAS DE COBRAS,ZIKA VÍRUS,FEBRE TIFÓIDE,HANTAVIROSE,MENINGITE,RAIVA
BA,Adustina,290035,2900355,BA,Adustina,"-10,5437","-38,1113",Região Nordeste,15702,Pequeno I,0,0,0,0,25,1,0,0,0,33,3,0,0,0,0
PE,Afogados da Ingazeira,260010,2600104,PE,Afogados da Ingazeira,"-7,74312","-37,631",Região Nordeste,35088,Pequeno II,0,1,0,0,283,1,0,1,0,320,0,0,0,0,0
RN,Afonso Bezerra,240030,2400307,RN,Afonso Bezerra,"-5,49229","-36,5075",Região Nordeste,10844,Pequeno I,0,0,0,0,7,0,0,0,0,13,2,0,0,0,0
ES,Afonso Cláudio,320010,3200102,ES,Afonso Cláudio,"-20,0778","-41,1261",Região Sudeste,31091,Pequeno II,0,0,29,0,0,8,1,14,0,0,221,0,0,0,0
MA,Afonso Cunha,210010,2100105,MA,Afonso Cunha,"-4,13631","-43,3275",Região Nordeste,5905,Pequeno I,0,0,0,0,0,0,0,0,0,84,2,0,0,0,0
PE,Afrânio,260020,2600203,PE,Afrânio,"-8,51136","-41,0095",Região Nordeste,17586,Pequeno I,0,0,0,0,524,0,0,0,0,61,16,0,0,0,0
PA,Afuá,150030,1500305,PA,Afuá,"-0,154874","-50,3861",Região Norte,35042,Pequeno II,0,0,0,0,0,28,0,0,6,89,19,0,0,0,0
PE,Agrestina,260030,2600302,PE,Agrestina,"-8,45966","-35,9447",Região Nordeste,22679,Pequeno II,0,0,0,0,14,0,0,2,0,4,3,0,0,0,0
PI,Agricolândia,220010,2200103,PI,Agricolândia,"-5,79676","-42,6664",Região Nordeste,5098,Pequeno I,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SC,Agrolândia,420020,4200200,SC,Agrolândia,"-27,4087","-49,822",Região Sul,9323,Pequeno I,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0
SC,Agronômica,420030,4200309,SC,Agronômica,"-27,2662","-49,708",Região Sul,4904,Pequeno I,0,0,0,0,0,3,0,2,0,10,0,0,0,0,0
PA,Água Azul do Norte,150034,1500347,PA,Água Azul do Norte,"-6,79053","-50,4791",Região Norte,25057,Pequeno II,0,0,8,0,4,0,0,0,0,11,13,0,0,0,0
